,event,words,real_words,TIME-ARG,PLACE-ARG,REASON-ARG,CASUALTIES-ARG,TYPE-ARG,PARTICIPANT-ARG,INTENSITY-ARG,MAGNITUDE-ARG,NAME-ARG,SPEED-ARG,DEPTH-ARG,AFTER_EFFECTS-ARG,TEMPERATURE-ARG,EPICENTRE-ARG
0,NONE,76171,<xml,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,NONE,76171,pad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
